iso_ts,t_perf,sample_idx,fsr1,fsr2,fsr3,fsr4,event,lane,detail
2026-05-09T11:14:56.538775,73047.029527,-1,0,0,0,0,stim,2,trial=1
2026-05-09T11:14:57.545424,73048.036734,-1,0,0,0,0,timeout,2,trial=1;rt_ms=1005.62
2026-05-09T11:14:58.158569,73048.649276,-1,0,0,0,0,stim,3,trial=2
2026-05-09T11:14:59.170620,73049.661835,-1,0,0,0,0,timeout,3,trial=2;rt_ms=1011.16
2026-05-09T11:14:59.778680,73050.269486,-1,0,0,0,0,stim,3,trial=3
2026-05-09T11:15:00.784690,73051.275781,-1,0,0,0,0,timeout,3,trial=3;rt_ms=1005.53
2026-05-09T11:15:01.398745,73051.889202,-1,0,0,0,0,stim,3,trial=4
2026-05-09T11:15:02.405285,73052.895733,-1,0,0,0,0,timeout,3,trial=4;rt_ms=1005.93
2026-05-09T11:15:03.014459,73053.505241,-1,0,0,0,0,stim,0,trial=5
2026-05-09T11:15:04.028032,73054.519046,-1,0,0,0,0,timeout,0,trial=5;rt_ms=1012.58
2026-05-09T11:15:04.638270,73055.129090,-1,0,0,0,0,stim,2,trial=6
2026-05-09T11:15:05.655502,73056.146151,-1,0,0,0,0,timeout,2,trial=6;rt_ms=1015.79
2026-05-09T11:15:06.265882,73056.757025,-1,0,0,0,0,stim,1,trial=7
